分类,疾病,文件名,来源,编号/页码,许可,出处/供图,像素,链接
一、病毒性疾病,麻疹,measles_16469.jpg,PHIL,16469,None - This image is in the public domain.,CDC/ Betty G. Partin,1580x2400,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=16469
一、病毒性疾病,麻疹,measles_22148.jpg,PHIL,22148,None - This image is in the public domain.,CDC,1580x2400,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=22148
一、病毒性疾病,麻疹,measles_24413.jpg,PHIL,24413,None - This image is in the public domain.,"CDC/ Heinz F. Eichenwald, MD",2400x1580,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=24413
一、病毒性疾病,麻疹,measles_24426.jpg,PHIL,24426,None - This image is in the public domain.,"CDC/ Heinz F. Eichenwald, MD",2400x1580,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=24426
一、病毒性疾病,麻疹,measles_24430.jpg,PHIL,24430,None - This image is in the public domain.,"CDC/ Heinz F. Eichenwald, MD",1580x2400,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=24430
一、病毒性疾病,麻疹,measles_24434.jpg,PHIL,24434,None - This image is in the public domain.,"CDC/ Heinz F. Eichenwald, MD",2400x1580,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=24434
一、病毒性疾病,麻疹,measles_24435.jpg,PHIL,24435,None - This image is in the public domain.,"CDC/ Heinz F. Eichenwald, MD",2400x1580,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=24435
一、病毒性疾病,麻疹,measles_24437.jpg,PHIL,24437,None - This image is in the public domain.,"CDC/ Heinz F. Eichenwald, MD",2400x1580,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=24437
一、病毒性疾病,风疹,rubella_22142.jpg,PHIL,22142,None - This image is in the public domain.,CDC,2400x1580,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=22142
一、病毒性疾病,风疹,rubella_22145.jpg,PHIL,22145,None - This image is in the public domain.,CDC,1726x2400,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=22145
一、病毒性疾病,风疹,rubella_22146.jpg,PHIL,22146,None - This image is in the public domain.,CDC,2400x1580,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=22146
一、病毒性疾病,风疹,rubella_22147.jpg,PHIL,22147,None - This image is in the public domain.,CDC,2400x2150,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=22147
一、病毒性疾病,风疹,rubella_24378.jpg,PHIL,24378,None - This image is in the public domain.,CDC,2400x1580,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=24378
一、病毒性疾病,幼儿急疹,roseola_pmc00_PMC10874238.jpg,PMC,PMC10874238,CC BY,Cureus 2024,750x1000,https://pmc.ncbi.nlm.nih.gov/articles/PMC10874238/
一、病毒性疾病,水痘,varicella_book00_p93.jpg,教材,p93,版权所有 · 人民卫生出版社,皮肤性病学（第10版）· 张学军、崔勇、高兴华 主编 · 人民卫生出版社 2024,441x330,
一、病毒性疾病,带状疱疹,zoster_book00_p93.jpg,教材,p93,版权所有 · 人民卫生出版社,皮肤性病学（第10版）· 张学军、崔勇、高兴华 主编 · 人民卫生出版社 2024,898x331,
一、病毒性疾病,手足口病,hfmd_pmc00_PMC11270346.jpg,PMC,PMC11270346,CC BY,Infectious disease reports 2024,712x1066,https://pmc.ncbi.nlm.nih.gov/articles/PMC11270346/
一、病毒性疾病,手足口病,hfmd_pmc01_PMC10846910.jpg,PMC,PMC10846910,CC BY,Cureus 2024,750x500,https://pmc.ncbi.nlm.nih.gov/articles/PMC10846910/
一、病毒性疾病,手足口病,hfmd_pmc02_PMC10846910.jpg,PMC,PMC10846910,CC BY,Cureus 2024,750x500,https://pmc.ncbi.nlm.nih.gov/articles/PMC10846910/
一、病毒性疾病,手足口病,hfmd_pmc03_PMC10699830.jpg,PMC,PMC10699830,CC BY,Cureus 2023,750x625,https://pmc.ncbi.nlm.nih.gov/articles/PMC10699830/
一、病毒性疾病,手足口病,hfmd_pmc04_PMC10699830.jpg,PMC,PMC10699830,CC BY,Cureus 2023,750x563,https://pmc.ncbi.nlm.nih.gov/articles/PMC10699830/
一、病毒性疾病,传染性单核细胞增多症,ebv_1620.jpg,PHIL,1620,None - This image is in the public domain.,CDC/ Emory Univ.; Dr. Sellers,2400x1580,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=1620
一、病毒性疾病,传染性单核细胞增多症,ebv_24828.jpg,PHIL,24828,None - This image is in the public domain.,"CDC/ Dr. Thomas F. Sellers, Emory University",1633x2400,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=24828
一、病毒性疾病,传染性单核细胞增多症,ebv_24918.jpg,PHIL,24918,None - This image is in the public domain.,"CDC/ Emory University, Dr. Thomas F. Sellers",2400x1633,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=24918
一、病毒性疾病,传染性单核细胞增多症,ebv_pmc00_PMC12553962.jpg,PMC,PMC12553962,CC BY,Cureus 2025,750x702,https://pmc.ncbi.nlm.nih.gov/articles/PMC12553962/
一、病毒性疾病,传染性单核细胞增多症,ebv_pmc01_PMC12553962.jpg,PMC,PMC12553962,CC BY,Cureus 2025,750x1000,https://pmc.ncbi.nlm.nih.gov/articles/PMC12553962/
一、病毒性疾病,传染性单核细胞增多症,ebv_pmc02_PMC12398297.jpg,PMC,PMC12398297,CC BY,Cureus 2025,750x952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12398297/
一、病毒性疾病,登革热,dengue_pmc00_PMC13189718.jpg,PMC,PMC13189718,CC BY,Cureus 2026,750x720,https://pmc.ncbi.nlm.nih.gov/articles/PMC13189718/
一、病毒性疾病,登革热,dengue_pmc01_PMC13189718.jpg,PMC,PMC13189718,CC BY,Cureus 2026,750x534,https://pmc.ncbi.nlm.nih.gov/articles/PMC13189718/
一、病毒性疾病,猴痘,mpox_12761.jpg,PHIL,12761,None - This image is in the public domain.,"CDC/ Brian W.J. Mahy, BSc, MA, PhD, ScD, DSc",2400x1577,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=12761
一、病毒性疾病,猴痘,mpox_12763.jpg,PHIL,12763,None - This image is in the public domain.,"CDC/ Brian W.J. Mahy, BSc, MA, PhD, ScD, DSc",2400x1577,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=12763
一、病毒性疾病,猴痘,mpox_12777.jpg,PHIL,12777,None - This image is in the public domain.,"CDC/ Brian W.J. Mahy, BSc, MA, PhD, ScD, DSc",1583x2400,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=12777
一、病毒性疾病,猴痘,mpox_12779.jpg,PHIL,12779,None - This image is in the public domain.,"CDC/ Brian W.J. Mahy, BSc, MA, PhD, ScD, DSc",2400x1564,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=12779
二、细菌感染性疾病,猩红热,scarlet_5163.jpg,PHIL,5163,None - This image is in the public domain.,CDC/ Dr. Andre J. Lebrun,2400x1589,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=5163
二、细菌感染性疾病,败血症 / 脓毒症,sepsis_2858.jpg,PHIL,2858,None - This image is in the public domain.,"CDC/ Dr. Thomas F. Sellers, Emory University",2400x1622,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=2858
二、细菌感染性疾病,败血症 / 脓毒症,sepsis_pmc00_PMC12596455.jpg,PMC,PMC12596455,CC BY,Cureus 2025,750x1000,https://pmc.ncbi.nlm.nih.gov/articles/PMC12596455/
二、细菌感染性疾病,败血症 / 脓毒症,sepsis_pmc01_PMC12930323.jpg,PMC,PMC12930323,CC BY,Cureus 2026,750x563,https://pmc.ncbi.nlm.nih.gov/articles/PMC12930323/
二、细菌感染性疾病,败血症 / 脓毒症,sepsis_pmc02_PMC12723175.jpg,PMC,PMC12723175,CC BY,Case reports in infectious diseases 2025,600x792,https://pmc.ncbi.nlm.nih.gov/articles/PMC12723175/
二、细菌感染性疾病,流行性脑脊髓膜炎,meningo_1333.jpg,PHIL,1333,None - This image is in the public domain.,CDC/ Emory Univ.; Dr. Sellers,2400x1584,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=1333
二、细菌感染性疾病,丹毒,erysipelas_book00_p102.jpg,教材,p102,版权所有 · 人民卫生出版社,皮肤性病学（第10版）· 张学军、崔勇、高兴华 主编 · 人民卫生出版社 2024,772x355,
二、细菌感染性疾病,伤寒 / 副伤寒,typhoid_pmc00_PMC11631300.jpg,PMC,PMC11631300,CC BY,Oxford medical case reports 2024,633x455,https://pmc.ncbi.nlm.nih.gov/articles/PMC11631300/
